consonant,voice,place,manner,prosody,noipow,voipow,subject,token
b,1,0,0,0,133.75,119.19,17,2
p,0,0,0,0,146.91,111.65,15,9
t,0,1,0,0,160.7,116.74,1,7
v,1,0,1,0,152.18,121.18,11,4
t,0,1,0,0,140.65,117.04,5,7
f,0,0,1,0,143.17,112.59,14,9
d,1,1,0,0,142.46,115.94,20,1
t,0,1,0,0,144.01,112.35,5,8
d,1,1,0,0,141.42,112.12,5,1
p,0,0,0,0,144.55,111.94,6,5
t,0,1,0,0,155.22,122.18,8,9
d,1,1,0,0,136.83,113.19,5,10
d,1,1,0,0,146.56,116.29,6,5
b,1,0,0,0,139.53,112.92,13,9
s,0,1,1,0,164.2,110.24,1,2
f,0,0,1,0,142.42,103.07,19,1
f,0,0,1,0,139.69,111.59,19,5
f,0,0,1,0,140.22,110.19,7,1
s,0,1,1,0,162.08,109.67,1,1
z,1,1,1,0,148.56,123.57,18,9
z,1,1,1,0,159.47,127.0,3,10
d,1,1,0,0,150.72,126.22,8,10
z,1,1,1,0,156.87,112.3,11,10
v,1,0,1,0,138.77,113.23,7,7
t,0,1,0,0,148.96,114.09,3,1
d,1,1,0,0,159.48,119.28,11,2
t,0,1,0,0,140.4,111.8,5,6
b,1,0,0,0,143.47,131.69,8,1
z,1,1,1,0,151.62,123.0,19,9
t,0,1,0,0,141.96,116.5,17,6
z,1,1,1,0,157.77,120.24,9,8
d,1,1,0,0,149.47,123.72,4,10
d,1,1,0,0,143.31,117.11,2,8
t,0,1,0,0,151.22,111.21,15,7
v,1,0,1,0,129.34,114.92,18,6
