consonant,voice,place,manner,prosody,condur,vowdur,subject,token
z,1,1,1,1,156,349,14,8
p,0,0,0,1,179,199,11,10
d,1,1,0,1,152,273,19,1
d,1,1,0,1,117,289,16,9
t,0,1,0,1,174,249,3,3
z,1,1,1,1,141,270,1,7
d,1,1,0,1,148,245,20,6
t,0,1,0,1,236,214,7,9
v,1,0,1,1,155,300,1,2
t,0,1,0,1,184,216,5,2
b,1,0,0,1,110,217,13,3
p,0,0,0,1,297,162,10,9
f,0,0,1,1,180,193,17,6
z,1,1,1,1,186,348,14,4
f,0,0,1,1,203,227,1,2
z,1,1,1,1,177,293,5,2
b,1,0,0,1,156,207,13,1
d,1,1,0,1,332,269,3,1
p,0,0,0,1,248,149,17,2
d,1,1,0,1,103,265,18,1
d,1,1,0,1,145,295,3,3
f,0,0,1,1,199,217,18,2
b,1,0,0,1,116,255,6,8
b,1,0,0,1,231,302,10,7
d,1,1,0,1,84,232,2,7
b,1,0,0,1,199,137,15,2
t,0,1,0,1,191,190,13,6
v,1,0,1,1,145,308,4,9
s,0,1,1,1,239,200,6,10
b,1,0,0,1,156,179,15,6
f,0,0,1,1,283,250,10,1
z,1,1,1,1,148,287,9,7
p,0,0,0,1,105,166,19,7
b,1,0,0,1,166,200,11,4
v,1,0,1,1,122,299,12,2
p,0,0,0,1,183,235,12,7
z,1,1,1,1,250,253,2,5
v,1,0,1,1,84,340,7,2
f,0,0,1,1,209,179,11,9
b,1,0,0,1,190,232,8,9
f,0,0,1,1,167,171,17,2
b,1,0,0,1,137,230,5,10
p,0,0,0,1,226,175,6,5
p,0,0,0,1,170,174,16,4
f,0,0,1,1,201,185,19,6
v,1,0,1,1,215,269,2,4
t,0,1,0,1,180,190,13,5
t,0,1,0,1,167,208,4,6
t,0,1,0,1,121,195,5,6
t,0,1,0,1,242,196,2,7
v,1,0,1,1,101,285,3,10
t,0,1,0,1,137,198,9,2
p,0,0,0,1,97,240,9,5
v,1,0,1,1,130,277,16,3
f,0,0,1,1,275,190,6,1
p,0,0,0,1,149,155,13,7
b,1,0,0,1,102,249,3,9
d,1,1,0,1,123,258,11,3
v,1,0,1,1,170,279,10,9
d,1,1,0,1,95,278,7,6
s,0,1,1,1,179,295,5,4
p,0,0,0,1,227,202,8,1
s,0,1,1,1,167,251,11,7
p,0,0,0,1,142,140,1,4
b,1,0,0,1,141,225,18,4
z,1,1,1,1,169,318,9,8
v,1,0,1,1,154,305,9,10
t,0,1,0,1,162,190,19,6
s,0,1,1,1,232,157,17,4
b,1,0,0,1,88,210,2,7
t,0,1,0,1,234,186,16,5
v,1,0,1,1,159,247,17,1
d,1,1,0,1,190,254,15,7
t,0,1,0,1,138,207,11,10
p,0,0,0,1,235,170,18,5
b,1,0,0,1,141,300,7,7
b,1,0,0,1,232,170,15,7
p,0,0,0,1,109,114,4,6
d,1,1,0,1,168,307,20,5
d,1,1,0,1,107,228,1,7
f,0,0,1,1,214,212,14,8
s,0,1,1,1,260,314,4,3
s,0,1,1,1,272,262,2,10
s,0,1,1,1,217,232,12,7
s,0,1,1,1,195,355,14,9
s,0,1,1,1,155,331,14,10
p,0,0,0,1,215,188,8,3
b,1,0,0,1,138,277,16,10
t,0,1,0,1,206,159,4,8
s,0,1,1,1,236,384,10,1
d,1,1,0,1,121,279,5,8
t,0,1,0,1,192,241,5,5
b,1,0,0,1,153,229,8,3
z,1,1,1,1,249,348,2,1
s,0,1,1,1,255,290,14,6
d,1,1,0,1,224,300,10,3
t,0,1,0,1,172,277,3,8
b,1,0,0,1,210,212,2,1
f,0,0,1,1,198,213,20,10
z,1,1,1,1,184,248,1,4
z,1,1,1,1,199,320,3,5
s,0,1,1,1,168,285,5,2
f,0,0,1,1,295,181,6,2
z,1,1,1,1,186,297,19,5
d,1,1,0,1,124,181,17,10
v,1,0,1,1,151,268,16,5
p,0,0,0,1,122,181,19,5
z,1,1,1,1,234,367,20,5
p,0,0,0,1,261,107,15,7
b,1,0,0,1,136,201,13,9
b,1,0,0,1,116,213,9,4
f,0,0,1,1,282,211,3,6
t,0,1,0,1,187,218,12,9
z,1,1,1,1,235,306,4,10
p,0,0,0,1,218,177,12,5
f,0,0,1,1,242,259,4,1
b,1,0,0,1,109,252,9,6
t,0,1,0,1,197,196,16,1
s,0,1,1,1,211,180,1,10
s,0,1,1,1,202,201,19,7
z,1,1,1,1,186,288,6,10
d,1,1,0,1,130,233,7,2
f,0,0,1,1,245,264,3,10
d,1,1,0,1,277,222,2,3
v,1,0,1,1,172,305,20,7
v,1,0,1,1,106,179,15,10
p,0,0,0,1,148,162,1,8
d,1,1,0,1,110,238,11,8
v,1,0,1,1,139,306,8,1
d,1,1,0,1,173,232,15,3
s,0,1,1,1,265,211,19,6
s,0,1,1,1,241,209,18,8
b,1,0,0,1,163,273,3,4
b,1,0,0,1,159,169,15,3
z,1,1,1,1,164,297,7,3
p,0,0,0,1,158,178,11,2
s,0,1,1,1,260,206,1,7
t,0,1,0,1,150,217,9,8
b,1,0,0,1,154,219,6,7
f,0,0,1,1,242,223,4,4
f,0,0,1,1,249,218,14,2
b,1,0,0,1,92,260,4,6
z,1,1,1,1,172,324,5,5
s,0,1,1,1,295,242,14,1
z,1,1,1,1,174,340,10,9
s,0,1,1,1,254,233,14,5
p,0,0,0,1,155,221,14,10
z,1,1,1,1,185,297,8,6
s,0,1,1,1,222,277,14,7
f,0,0,1,1,198,236,12,4
f,0,0,1,1,279,176,15,2
p,0,0,0,1,182,127,17,4
t,0,1,0,1,133,210,11,1
f,0,0,1,1,176,204,19,4
p,0,0,0,1,196,238,5,1
d,1,1,0,1,103,231,2,9
b,1,0,0,1,89,326,3,6
d,1,1,0,1,179,313,10,8
t,0,1,0,1,201,353,3,6
t,0,1,0,1,131,218,11,3
b,1,0,0,1,151,241,19,7
t,0,1,0,1,195,174,16,10
z,1,1,1,1,177,358,7,7
b,1,0,0,1,104,222,1,3
p,0,0,0,1,218,160,15,10
z,1,1,1,1,180,317,6,2
t,0,1,0,1,156,236,9,5
z,1,1,1,1,195,262,1,8
z,1,1,1,1,226,264,19,2
p,0,0,0,1,201,177,20,5
s,0,1,1,1,216,207,13,10
f,0,0,1,1,276,301,10,10
s,0,1,1,1,217,210,19,8
z,1,1,1,1,161,203,17,9
z,1,1,1,1,234,273,2,10
s,0,1,1,1,295,226,8,7
s,0,1,1,1,232,217,6,5
d,1,1,0,1,117,241,20,4
t,0,1,0,1,245,182,14,1
b,1,0,0,1,137,250,16,5
t,0,1,0,1,262,142,17,5
d,1,1,0,1,125,315,10,2
f,0,0,1,1,245,231,2,7
b,1,0,0,1,112,250,16,2
t,0,1,0,1,303,179,15,5
f,0,0,1,1,250,255,2,6
z,1,1,1,1,143,291,5,4
v,1,0,1,1,172,260,19,1
v,1,0,1,1,220,324,10,3
v,1,0,1,1,164,267,1,4
t,0,1,0,1,230,164,17,2
v,1,0,1,1,85,371,7,3
b,1,0,0,1,151,154,11,9
p,0,0,0,1,197,199,14,5
d,1,1,0,1,141,317,10,9
t,0,1,0,1,179,172,5,10
v,1,0,1,1,119,284,9,5
s,0,1,1,1,274,174,15,7
b,1,0,0,1,112,212,18,1
d,1,1,0,1,76,277,5,6
z,1,1,1,1,171,269,9,4
p,0,0,0,1,194,158,18,3
f,0,0,1,1,171,187,18,7
b,1,0,0,1,151,216,13,6
d,1,1,0,1,119,287,8,2
z,1,1,1,1,148,258,15,6
t,0,1,0,1,227,153,12,3
p,0,0,0,1,202,158,11,8
d,1,1,0,1,114,224,18,6
p,0,0,0,1,233,143,16,5
d,1,1,0,1,138,304,14,1
v,1,0,1,1,192,265,4,7
v,1,0,1,1,188,307,15,2
b,1,0,0,1,153,266,6,6
s,0,1,1,1,246,346,3,4
f,0,0,1,1,197,235,13,2
t,0,1,0,1,190,218,14,2
p,0,0,0,1,139,172,19,8
z,1,1,1,1,202,373,10,1
f,0,0,1,1,195,225,12,7
z,1,1,1,1,154,346,20,4
f,0,0,1,1,226,245,6,10
b,1,0,0,1,146,266,1,5
t,0,1,0,1,229,199,4,3
p,0,0,0,1,156,154,19,3
v,1,0,1,1,199,252,13,9
v,1,0,1,1,236,249,10,6
d,1,1,0,1,143,274,8,5
d,1,1,0,1,58,263,4,7
p,0,0,0,1,163,204,5,2
t,0,1,0,1,209,162,17,4
t,0,1,0,1,93,213,5,7
b,1,0,0,1,162,312,14,8
t,0,1,0,1,255,171,8,9
z,1,1,1,1,135,262,11,10
s,0,1,1,1,246,181,6,2
f,0,0,1,1,284,155,1,9
s,0,1,1,1,249,183,15,10
b,1,0,0,1,190,204,13,7
b,1,0,0,1,172,236,15,9
z,1,1,1,1,244,291,3,4
v,1,0,1,1,117,179,17,10
z,1,1,1,1,147,304,6,9
z,1,1,1,1,286,302,3,9
f,0,0,1,1,284,271,10,7
p,0,0,0,1,137,196,7,2
d,1,1,0,1,101,239,4,6
z,1,1,1,1,191,333,10,4
s,0,1,1,1,168,313,11,5
