consonant,voice,place,manner,prosody,condur,vowdur,subject,token
p,0,0,0,1,203,147,17,5
d,1,1,0,1,175,250,15,2
p,0,0,0,1,116,184,19,10
f,0,0,1,1,182,235,16,4
f,0,0,1,1,258,193,2,5
s,0,1,1,1,224,251,15,1
b,1,0,0,1,94,302,3,8
z,1,1,1,1,162,307,6,6
z,1,1,1,1,102,367,15,7
p,0,0,0,1,170,236,14,9
s,0,1,1,1,271,258,8,6
t,0,1,0,1,206,201,20,8
s,0,1,1,1,235,368,3,7
v,1,0,1,1,114,363,14,3
f,0,0,1,1,161,224,7,3
b,1,0,0,1,149,277,7,10
f,0,0,1,1,251,263,3,9
f,0,0,1,1,174,230,13,4
b,1,0,0,1,120,238,9,7
d,1,1,0,1,107,269,16,5
f,0,0,1,1,236,146,15,1
f,0,0,1,1,207,204,9,8
b,1,0,0,1,182,208,3,3
b,1,0,0,1,155,311,14,4
p,0,0,0,1,224,113,6,7
z,1,1,1,1,157,269,13,5
f,0,0,1,1,250,274,2,3
d,1,1,0,1,159,276,11,10
b,1,0,0,1,80,197,2,8
s,0,1,1,1,163,290,11,8
f,0,0,1,1,202,162,17,9
d,1,1,0,1,109,246,1,6
z,1,1,1,1,193,245,10,6
d,1,1,0,1,87,236,19,8
v,1,0,1,1,98,305,18,1
v,1,0,1,1,107,378,7,7
v,1,0,1,1,131,283,16,4
b,1,0,0,1,210,269,10,3
b,1,0,0,1,140,251,5,3
p,0,0,0,1,109,178,9,7
s,0,1,1,1,221,236,12,6
t,0,1,0,1,216,158,18,5
d,1,1,0,1,118,195,1,10
d,1,1,0,1,197,282,10,7
f,0,0,1,1,283,215,2,1
p,0,0,0,1,156,125,1,6
z,1,1,1,1,186,255,18,9
z,1,1,1,1,207,293,19,10
v,1,0,1,1,196,209,18,2
p,0,0,0,1,231,139,17,3
b,1,0,0,1,109,235,6,9
p,0,0,0,1,126,192,9,2
z,1,1,1,1,204,278,16,5
