consonant,voice,place,manner,prosody,condur,vowdur,subject,token
v,1,0,1,0,102,324,5,2
z,1,1,1,0,66,190,17,10
z,1,1,1,0,194,265,3,4
v,1,0,1,0,18,266,17,3
v,1,0,1,0,73,335,5,10
s,0,1,1,0,112,206,11,1
z,1,1,1,0,131,317,2,7
z,1,1,1,0,102,240,7,2
f,0,0,1,0,106,318,9,8
f,0,0,1,0,131,316,2,5
s,0,1,1,0,150,273,7,4
v,1,0,1,0,115,334,3,2
b,1,0,0,0,245,245,20,9
v,1,0,1,0,31,296,15,9
s,0,1,1,0,177,254,5,8
s,0,1,1,0,160,300,2,1
t,0,1,0,0,97,329,3,1
v,1,0,1,0,74,256,16,4
v,1,0,1,0,40,297,7,8
z,1,1,1,0,136,211,17,4
f,0,0,1,0,128,229,13,5
t,0,1,0,0,74,253,5,3
v,1,0,1,0,60,281,4,2
s,0,1,1,0,154,197,1,6
d,1,1,0,0,14,262,5,1
p,0,0,0,0,71,216,16,8
t,0,1,0,0,68,259,9,6
b,1,0,0,0,161,281,20,2
v,1,0,1,0,50,272,9,2
b,1,0,0,0,22,267,5,4
t,0,1,0,0,90,230,4,6
f,0,0,1,0,127,304,18,5
v,1,0,1,0,100,238,1,5
s,0,1,1,0,207,233,14,6
p,0,0,0,0,79,174,17,6
z,1,1,1,0,187,346,3,5
s,0,1,1,0,184,344,3,9
p,0,0,0,0,68,245,7,2
d,1,1,0,0,22,303,15,7
p,0,0,0,0,79,266,12,5
b,1,0,0,0,25,388,10,6
p,0,0,0,0,84,301,12,9
s,0,1,1,0,125,228,11,2
v,1,0,1,0,84,221,19,9
b,1,0,0,0,11,354,9,5
b,1,0,0,0,89,192,1,6
z,1,1,1,0,80,264,13,2
z,1,1,1,0,143,352,18,10
v,1,0,1,0,103,131,8,8
b,1,0,0,0,11,206,16,6
z,1,1,1,0,112,280,2,10
p,0,0,0,0,54,119,17,7
z,1,1,1,0,140,278,10,4
