consonant,voice,place,manner,prosody,condur,vowdur,subject,token
t,0,1,0,0,77,208,20,10
f,0,0,1,0,169,279,16,7
d,1,1,0,0,15,353,3,2
f,0,0,1,0,97,301,4,3
t,0,1,0,0,110,216,14,4
b,1,0,0,0,17,292,2,6
p,0,0,0,0,53,194,19,9
b,1,0,0,0,12,291,9,4
p,0,0,0,0,89,211,13,4
p,0,0,0,0,77,256,12,4
f,0,0,1,0,131,239,13,2
b,1,0,0,0,23,312,10,10
s,0,1,1,0,193,196,14,7
p,0,0,0,0,42,269,11,5
d,1,1,0,0,193,216,20,10
s,0,1,1,0,159,166,1,1
d,1,1,0,0,31,270,8,10
v,1,0,1,0,76,229,15,7
v,1,0,1,0,56,273,16,9
t,0,1,0,0,69,244,6,6
t,0,1,0,0,154,342,10,10
v,1,0,1,0,77,206,19,8
d,1,1,0,0,16,294,3,8
t,0,1,0,0,73,346,9,9
f,0,0,1,0,180,178,1,5
d,1,1,0,0,18,247,6,2
d,1,1,0,0,71,210,19,10
t,0,1,0,0,114,189,16,2
v,1,0,1,0,18,285,5,3
f,0,0,1,0,141,267,16,8
d,1,1,0,0,91,252,19,7
v,1,0,1,0,35,235,13,4
f,0,0,1,0,206,304,20,7
s,0,1,1,0,148,237,18,6
z,1,1,1,0,109,161,1,1
t,0,1,0,0,88,215,11,1
t,0,1,0,0,69,195,16,6
s,0,1,1,0,131,218,13,1
s,0,1,1,0,145,299,18,2
p,0,0,0,0,125,183,17,10
d,1,1,0,0,13,332,3,4
s,0,1,1,0,146,238,11,10
t,0,1,0,0,61,298,9,4
s,0,1,1,0,204,329,9,10
d,1,1,0,0,16,277,5,2
d,1,1,0,0,12,370,3,3
p,0,0,0,0,51,264,7,7
p,0,0,0,0,71,325,7,9
p,0,0,0,0,109,270,20,3
d,1,1,0,0,18,320,2,2
v,1,0,1,0,33,251,16,3
p,0,0,0,0,118,294,10,4
t,0,1,0,0,77,238,11,6
b,1,0,0,0,9,230,4,4
p,0,0,0,0,39,166,1,1
z,1,1,1,0,121,401,15,1
v,1,0,1,0,46,240,2,7
v,1,0,1,0,83,183,1,4
v,1,0,1,0,167,214,20,10
s,0,1,1,0,166,315,15,4
t,0,1,0,0,98,260,4,4
v,1,0,1,0,75,186,19,2
v,1,0,1,0,43,317,7,7
d,1,1,0,0,14,161,17,2
p,0,0,0,0,57,283,9,4
f,0,0,1,0,91,365,2,10
z,1,1,1,0,158,212,8,9
s,0,1,1,0,248,236,14,10
s,0,1,1,0,198,272,20,4
s,0,1,1,0,157,153,1,4
z,1,1,1,0,63,313,12,7
d,1,1,0,0,12,331,2,8
z,1,1,1,0,132,267,18,9
s,0,1,1,0,208,235,6,2
b,1,0,0,0,29,203,17,1
z,1,1,1,0,113,291,5,1
f,0,0,1,0,176,253,8,2
v,1,0,1,0,31,222,19,3
f,0,0,1,0,124,325,15,10
t,0,1,0,0,51,215,13,3
v,1,0,1,0,45,179,17,5
v,1,0,1,0,82,195,16,10
f,0,0,1,0,126,178,19,2
v,1,0,1,0,67,246,7,1
f,0,0,1,0,102,243,13,9
b,1,0,0,0,28,285,5,9
z,1,1,1,0,90,212,13,8
p,0,0,0,0,59,187,1,7
b,1,0,0,0,48,148,17,7
f,0,0,1,0,144,177,1,4
v,1,0,1,0,75,362,12,4
v,1,0,1,0,174,277,14,8
f,0,0,1,0,139,296,18,7
t,0,1,0,0,121,315,10,7
d,1,1,0,0,34,258,11,8
v,1,0,1,0,119,186,1,9
d,1,1,0,0,37,318,10,5
t,0,1,0,0,88,193,20,8
b,1,0,0,0,17,243,6,4
t,0,1,0,0,98,370,9,10
b,1,0,0,0,11,273,7,10
t,0,1,0,0,85,218,18,9
d,1,1,0,0,14,264,7,4
f,0,0,1,0,126,242,5,3
f,0,0,1,0,61,322,4,9
p,0,0,0,0,74,248,5,5
b,1,0,0,0,10,323,9,2
d,1,1,0,0,160,256,20,7
d,1,1,0,0,17,210,14,2
f,0,0,1,0,124,231,4,2
z,1,1,1,0,99,243,13,1
t,0,1,0,0,84,249,7,2
d,1,1,0,0,24,253,8,1
t,0,1,0,0,135,189,8,7
v,1,0,1,0,117,246,1,2
d,1,1,0,0,111,184,1,10
s,0,1,1,0,206,323,3,2
v,1,0,1,0,74,201,17,6
t,0,1,0,0,69,199,20,5
v,1,0,1,0,73,290,4,9
p,0,0,0,0,61,188,6,1
f,0,0,1,0,119,178,17,3
z,1,1,1,0,167,234,6,7
d,1,1,0,0,21,274,18,4
d,1,1,0,0,23,320,3,10
b,1,0,0,0,10,209,19,1
s,0,1,1,0,165,272,9,2
s,0,1,1,0,188,275,9,3
f,0,0,1,0,154,196,1,6
t,0,1,0,0,73,204,1,3
d,1,1,0,0,16,320,12,2
v,1,0,1,0,117,427,15,1
b,1,0,0,0,196,263,20,3
d,1,1,0,0,12,270,7,7
d,1,1,0,0,9,242,12,7
p,0,0,0,0,76,202,9,3
v,1,0,1,0,112,242,17,9
f,0,0,1,0,116,181,13,4
p,0,0,0,0,59,282,11,3
s,0,1,1,0,164,154,1,10
s,0,1,1,0,177,261,5,4
b,1,0,0,0,10,267,14,6
f,0,0,1,0,131,278,11,4
t,0,1,0,0,96,331,12,2
d,1,1,0,0,28,206,13,9
d,1,1,0,0,44,241,17,9
d,1,1,0,0,24,238,11,1
p,0,0,0,0,69,281,7,4
p,0,0,0,0,70,271,20,4
b,1,0,0,0,14,217,16,10
p,0,0,0,0,54,305,5,3
b,1,0,0,0,13,284,2,3
d,1,1,0,0,17,286,9,6
z,1,1,1,0,214,228,20,4
p,0,0,0,0,80,343,9,9
b,1,0,0,0,11,278,8,10
f,0,0,1,0,110,304,2,9
f,0,0,1,0,174,327,18,10
b,1,0,0,0,6,297,12,7
f,0,0,1,0,142,373,12,5
b,1,0,0,0,30,233,17,4
v,1,0,1,0,113,320,12,5
d,1,1,0,0,154,294,20,1
p,0,0,0,0,58,198,17,1
z,1,1,1,0,69,259,11,2
s,0,1,1,0,175,205,7,5
p,0,0,0,0,58,267,20,2
f,0,0,1,0,107,257,14,9
v,1,0,1,0,42,310,12,6
b,1,0,0,0,13,242,11,5
v,1,0,1,0,16,286,2,1
s,0,1,1,0,158,229,5,3
s,0,1,1,0,143,227,13,2
b,1,0,0,0,13,307,15,5
t,0,1,0,0,131,317,10,1
d,1,1,0,0,12,200,1,5
z,1,1,1,0,88,260,6,2
s,0,1,1,0,176,269,11,8
d,1,1,0,0,15,282,18,1
d,1,1,0,0,80,206,19,8
v,1,0,1,0,82,346,15,2
d,1,1,0,0,59,278,16,5
b,1,0,0,0,7,285,15,9
t,0,1,0,0,62,172,1,8
s,0,1,1,0,151,165,17,9
b,1,0,0,0,10,280,14,3
z,1,1,1,0,142,295,18,7
v,1,0,1,0,23,291,7,10
d,1,1,0,0,32,346,10,8
t,0,1,0,0,82,257,3,4
p,0,0,0,0,71,245,20,5
d,1,1,0,0,13,249,5,7
z,1,1,1,0,115,214,8,5
b,1,0,0,0,12,218,14,9
t,0,1,0,0,121,217,8,3
t,0,1,0,0,84,226,9,1
s,0,1,1,0,150,328,3,1
p,0,0,0,0,50,172,1,3
v,1,0,1,0,62,284,14,9
p,0,0,0,0,110,239,8,7
s,0,1,1,0,123,243,19,6
d,1,1,0,0,18,293,7,1
f,0,0,1,0,168,240,5,5
s,0,1,1,0,175,260,14,3
p,0,0,0,0,76,149,13,6
d,1,1,0,0,17,296,6,5
p,0,0,0,0,56,273,3,9
s,0,1,1,0,197,278,9,6
f,0,0,1,0,163,165,17,10
z,1,1,1,0,132,151,1,10
s,0,1,1,0,155,275,11,7
f,0,0,1,0,174,326,3,6
f,0,0,1,0,118,219,5,9
z,1,1,1,0,135,288,7,1
p,0,0,0,0,37,206,19,10
v,1,0,1,0,67,220,13,9
z,1,1,1,0,180,253,20,10
p,0,0,0,0,106,239,10,1
f,0,0,1,0,24,284,4,7
f,0,0,1,0,144,226,6,1
s,0,1,1,0,217,199,20,5
d,1,1,0,0,21,215,14,10
b,1,0,0,0,81,253,16,5
p,0,0,0,0,80,271,14,3
d,1,1,0,0,19,273,7,6
z,1,1,1,0,91,215,13,6
t,0,1,0,0,81,192,17,2
v,1,0,1,0,141,244,14,6
d,1,1,0,0,35,338,10,10
p,0,0,0,0,105,176,16,4
z,1,1,1,0,117,335,2,6
v,1,0,1,0,93,307,18,10
d,1,1,0,0,13,271,18,9
f,0,0,1,0,133,255,16,6
z,1,1,1,0,82,303,2,8
s,0,1,1,0,222,259,10,4
f,0,0,1,0,63,271,15,8
f,0,0,1,0,235,253,20,10
v,1,0,1,0,109,293,18,1
v,1,0,1,0,95,219,2,3
b,1,0,0,0,9,266,7,8
f,0,0,1,0,129,273,20,2
d,1,1,0,0,11,403,3,7
s,0,1,1,0,164,232,16,5
f,0,0,1,0,121,282,18,9
z,1,1,1,0,83,173,17,5
f,0,0,1,0,150,320,2,2
t,0,1,0,0,88,253,4,9
z,1,1,1,0,132,277,4,3
f,0,0,1,0,132,204,17,7
t,0,1,0,0,79,234,4,1
b,1,0,0,0,25,437,15,1
z,1,1,1,0,122,288,18,3
b,1,0,0,0,18,190,8,9
b,1,0,0,0,18,259,2,4
d,1,1,0,0,141,198,20,8
s,0,1,1,0,191,249,14,2
s,0,1,1,0,166,131,1,8
b,1,0,0,0,13,245,1,3
f,0,0,1,0,137,267,16,3
z,1,1,1,0,122,262,7,3
v,1,0,1,0,103,303,14,4
p,0,0,0,0,73,209,4,1
t,0,1,0,0,93,270,20,7
p,0,0,0,0,91,345,12,10
s,0,1,1,0,141,245,4,4
s,0,1,1,0,166,245,7,3
s,0,1,1,0,193,315,10,1
z,1,1,1,0,155,305,14,10
d,1,1,0,0,140,219,20,4
v,1,0,1,0,87,247,16,6
b,1,0,0,0,19,188,8,5
p,0,0,0,0,76,276,15,4
p,0,0,0,0,106,302,12,3
f,0,0,1,0,146,354,3,3
z,1,1,1,0,98,240,11,9
f,0,0,1,0,170,175,1,10
f,0,0,1,0,63,242,6,7
z,1,1,1,0,121,245,1,4
f,0,0,1,0,90,360,15,4
f,0,0,1,0,110,303,12,1
t,0,1,0,0,93,205,14,8
b,1,0,0,0,10,215,19,6
p,0,0,0,0,87,188,6,8
z,1,1,1,0,146,274,7,9
z,1,1,1,0,123,252,18,1
t,0,1,0,0,99,145,1,2
s,0,1,1,0,194,284,18,10
f,0,0,1,0,128,275,18,6
p,0,0,0,0,74,234,18,6
d,1,1,0,0,17,323,9,5
d,1,1,0,0,21,279,12,3
s,0,1,1,0,115,261,11,3
t,0,1,0,0,117,296,10,9
t,0,1,0,0,85,161,17,4
p,0,0,0,0,101,244,12,1
s,0,1,1,0,246,304,3,8
b,1,0,0,0,9,308,12,10
z,1,1,1,0,211,201,20,8
b,1,0,0,0,10,242,14,2
z,1,1,1,0,124,211,19,7
t,0,1,0,0,89,198,11,10
d,1,1,0,0,19,248,6,9
t,0,1,0,0,63,192,19,9
s,0,1,1,0,132,204,13,10
z,1,1,1,0,63,230,6,5
s,0,1,1,0,147,234,16,9
f,0,0,1,0,86,251,13,3
d,1,1,0,0,70,197,19,3
z,1,1,1,0,100,234,17,7
p,0,0,0,0,88,231,6,5
t,0,1,0,0,87,207,16,4
t,0,1,0,0,87,237,11,5
s,0,1,1,0,265,289,20,8
s,0,1,1,0,139,238,18,8
d,1,1,0,0,53,309,4,7
v,1,0,1,0,129,298,8,3
d,1,1,0,0,118,333,20,2
d,1,1,0,0,20,391,9,10
b,1,0,0,0,19,307,13,8
b,1,0,0,0,11,255,4,1
f,0,0,1,0,159,369,9,9
v,1,0,1,0,149,364,3,5
s,0,1,1,0,151,302,7,7
v,1,0,1,0,139,284,5,6
v,1,0,1,0,196,307,10,7
v,1,0,1,0,124,153,1,10
v,1,0,1,0,19,329,7,6
s,0,1,1,0,150,389,9,8
t,0,1,0,0,90,131,17,1
d,1,1,0,0,67,300,4,10
p,0,0,0,0,77,205,6,10
v,1,0,1,0,35,236,13,3
t,0,1,0,0,59,245,5,1
s,0,1,1,0,256,400,10,6
d,1,1,0,0,24,268,6,6
s,0,1,1,0,173,353,3,10
z,1,1,1,0,112,290,7,7
v,1,0,1,0,185,219,20,8
b,1,0,0,0,41,339,10,8
t,0,1,0,0,63,121,13,7
t,0,1,0,0,100,147,8,8
b,1,0,0,0,5,264,15,6
p,0,0,0,0,74,213,8,8
d,1,1,0,0,15,244,8,2
z,1,1,1,0,90,296,9,6
f,0,0,1,0,134,270,16,4
b,1,0,0,0,9,210,6,7
d,1,1,0,0,13,226,16,2
t,0,1,0,0,79,200,20,6
t,0,1,0,0,114,224,8,1
p,0,0,0,0,82,172,16,10
z,1,1,1,0,114,257,5,6
d,1,1,0,0,22,378,9,9
p,0,0,0,0,102,234,14,5
t,0,1,0,0,82,245,6,8
t,0,1,0,0,49,185,5,9
z,1,1,1,0,103,343,12,9
t,0,1,0,0,79,232,18,8
d,1,1,0,0,19,306,16,8
t,0,1,0,0,69,297,2,3
b,1,0,0,0,19,244,6,5
f,0,0,1,0,37,291,11,9
s,0,1,1,0,168,315,9,5
p,0,0,0,0,88,279,5,8
t,0,1,0,0,73,234,18,6
f,0,0,1,0,137,337,3,7
p,0,0,0,0,36,193,19,8
d,1,1,0,0,34,229,11,10
b,1,0,0,0,9,289,8,2
s,0,1,1,0,116,224,6,10
p,0,0,0,0,86,206,13,9
s,0,1,1,0,166,238,6,6
d,1,1,0,0,12,253,14,6
s,0,1,1,0,176,197,8,1
s,0,1,1,0,165,377,15,3
b,1,0,0,0,4,330,4,9
p,0,0,0,0,89,203,13,5
f,0,0,1,0,202,236,8,10
z,1,1,1,0,93,233,19,9
f,0,0,1,0,150,253,6,10
p,0,0,0,0,77,189,1,5
t,0,1,0,0,79,277,4,7
f,0,0,1,0,166,155,1,9
z,1,1,1,0,76,176,17,9
p,0,0,0,0,76,291,12,8
s,0,1,1,0,164,220,19,4
v,1,0,1,0,15,273,2,2
v,1,0,1,0,33,259,11,4
b,1,0,0,0,17,357,15,3
f,0,0,1,0,170,321,10,2
d,1,1,0,0,16,302,2,3
d,1,1,0,0,14,283,9,3
z,1,1,1,0,79,226,11,10
s,0,1,1,0,194,350,10,9
s,0,1,1,0,150,356,12,5
v,1,0,1,0,86,319,9,5
f,0,0,1,0,130,293,12,7
d,1,1,0,0,18,270,2,5
f,0,0,1,0,135,319,4,8
b,1,0,0,0,17,237,11,9
v,1,0,1,0,150,234,20,9
z,1,1,1,0,130,272,2,2
b,1,0,0,0,19,292,9,7
v,1,0,1,0,121,309,10,6
p,0,0,0,0,65,264,9,7
s,0,1,1,0,139,272,12,2
z,1,1,1,0,101,315,4,6
p,0,0,0,0,73,159,15,5
b,1,0,0,0,16,259,5,6
t,0,1,0,0,132,225,14,1
t,0,1,0,0,32,254,19,7
f,0,0,1,0,93,329,15,9
v,1,0,1,0,141,322,18,9
p,0,0,0,0,117,256,17,9
b,1,0,0,0,9,243,6,8
b,1,0,0,0,11,231,16,1
v,1,0,1,0,35,240,5,5
v,1,0,1,0,84,335,12,2
f,0,0,1,0,106,193,5,10
z,1,1,1,0,100,314,7,6
f,0,0,1,0,102,314,12,2
b,1,0,0,0,16,219,11,8
z,1,1,1,0,60,296,16,7
f,0,0,1,0,75,321,2,6
v,1,0,1,0,148,367,9,9
v,1,0,1,0,100,188,8,2
t,0,1,0,0,74,251,6,4
v,1,0,1,0,78,291,4,5
f,0,0,1,0,104,213,19,10
d,1,1,0,0,24,325,10,4
f,0,0,1,0,120,232,20,6
v,1,0,1,0,45,316,15,8
t,0,1,0,0,120,175,17,9
p,0,0,0,0,81,235,5,6
b,1,0,0,0,17,298,12,3
p,0,0,0,0,66,188,1,4
b,1,0,0,0,14,347,9,10
p,0,0,0,0,38,198,19,7
b,1,0,0,0,25,341,3,5
b,1,0,0,0,123,192,1,4
f,0,0,1,0,59,294,7,3
p,0,0,0,0,58,274,7,8
p,0,0,0,0,63,239,13,8
v,1,0,1,0,60,269,2,6
p,0,0,0,0,93,183,8,10
s,0,1,1,0,99,245,17,7
t,0,1,0,0,71,220,18,1
b,1,0,0,0,23,286,4,10
p,0,0,0,0,114,225,8,5
b,1,0,0,0,11,214,6,6
t,0,1,0,0,53,148,1,9
p,0,0,0,0,67,149,1,8
z,1,1,1,0,209,317,3,7
s,0,1,1,0,151,288,7,1
s,0,1,1,0,170,231,14,1
p,0,0,0,0,89,273,4,9
z,1,1,1,0,120,292,7,10
d,1,1,0,0,15,207,1,2
v,1,0,1,0,107,351,10,4
b,1,0,0,0,13,363,3,2
d,1,1,0,0,28,343,10,9
d,1,1,0,0,18,231,15,4
d,1,1,0,0,169,254,20,9
s,0,1,1,0,170,174,1,7
s,0,1,1,0,134,284,4,6
v,1,0,1,0,24,296,9,6
t,0,1,0,0,35,143,17,7
t,0,1,0,0,119,228,8,10
t,0,1,0,0,86,250,8,6
b,1,0,0,0,10,386,7,6
f,0,0,1,0,101,249,9,1
d,1,1,0,0,12,282,2,4
t,0,1,0,0,49,253,2,4
p,0,0,0,0,78,215,16,6
v,1,0,1,0,98,210,19,4
f,0,0,1,0,128,195,19,4
s,0,1,1,0,157,205,1,5
v,1,0,1,0,101,294,12,10
z,1,1,1,0,139,273,7,4
z,1,1,1,0,100,258,8,1
s,0,1,1,0,171,220,16,6
t,0,1,0,0,68,205,6,1
p,0,0,0,0,106,180,14,10
s,0,1,1,0,174,265,2,4
d,1,1,0,0,14,201,8,7
d,1,1,0,0,15,207,14,7
t,0,1,0,0,66,201,6,2
t,0,1,0,0,86,191,7,3
f,0,0,1,0,139,374,15,1
t,0,1,0,0,86,331,15,8
v,1,0,1,0,138,279,20,4
s,0,1,1,0,228,235,14,5
d,1,1,0,0,29,217,16,9
v,1,0,1,0,60,344,15,10
v,1,0,1,0,15,362,2,8
p,0,0,0,0,95,361,3,3
z,1,1,1,0,225,227,14,6
f,0,0,1,0,123,268,16,9
b,1,0,0,0,14,231,8,6
z,1,1,1,0,233,296,20,7
f,0,0,1,0,117,271,15,6
p,0,0,0,0,55,251,4,4
p,0,0,0,0,140,343,10,7
f,0,0,1,0,90,238,11,2
d,1,1,0,0,14,258,4,4
z,1,1,1,0,214,347,3,8
z,1,1,1,0,100,314,15,5
t,0,1,0,0,30,194,19,4
d,1,1,0,0,20,212,13,7
t,0,1,0,0,79,254,20,2
f,0,0,1,0,166,216,17,1
p,0,0,0,0,72,302,3,4
d,1,1,0,0,31,188,14,8
t,0,1,0,0,58,284,18,5
f,0,0,1,0,218,236,5,4
s,0,1,1,0,151,174,13,6
v,1,0,1,0,67,235,6,8
z,1,1,1,0,213,240,20,9
f,0,0,1,0,154,160,3,2
v,1,0,1,0,91,226,1,3
d,1,1,0,0,16,338,2,1
b,1,0,0,0,14,240,6,9
b,1,0,0,0,17,429,9,9
v,1,0,1,0,123,332,5,9
s,0,1,1,0,146,275,4,7
z,1,1,1,0,85,258,16,9
d,1,1,0,0,16,212,8,6
t,0,1,0,0,66,275,2,5
d,1,1,0,0,12,288,9,4
t,0,1,0,0,63,268,11,8
d,1,1,0,0,138,255,20,3
p,0,0,0,0,67,239,17,2
z,1,1,1,0,66,206,16,8
b,1,0,0,0,20,250,7,1
s,0,1,1,0,128,215,19,3
p,0,0,0,0,105,249,18,4
t,0,1,0,0,99,207,8,2
z,1,1,1,0,84,299,4,9
b,1,0,0,0,17,184,19,8
p,0,0,0,0,64,155,11,1
s,0,1,1,0,191,220,8,7
f,0,0,1,0,134,260,11,7
p,0,0,0,0,74,261,16,5
b,1,0,0,0,14,314,18,4
v,1,0,1,0,71,285,11,2
b,1,0,0,0,11,202,19,2
z,1,1,1,0,94,353,12,8
z,1,1,1,0,115,360,15,8
s,0,1,1,0,199,278,2,6
s,0,1,1,0,142,149,15,6
f,0,0,1,0,184,276,5,6
v,1,0,1,0,165,263,14,7
p,0,0,0,0,64,195,13,10
b,1,0,0,0,12,287,14,10
p,0,0,0,0,45,172,19,5
t,0,1,0,0,98,244,2,9
b,1,0,0,0,11,289,3,3
d,1,1,0,0,37,265,10,6
p,0,0,0,0,82,263,4,3
b,1,0,0,0,13,344,10,9
v,1,0,1,0,51,199,19,5
d,1,1,0,0,12,309,16,7
s,0,1,1,0,153,263,15,8
f,0,0,1,0,189,267,8,3
d,1,1,0,0,31,192,15,10
p,0,0,0,0,69,339,6,7
d,1,1,0,0,15,301,2,9
p,0,0,0,0,80,331,15,2
b,1,0,0,0,18,271,7,2
s,0,1,1,0,122,220,13,5
f,0,0,1,0,101,288,12,8
p,0,0,0,0,80,197,13,7
z,1,1,1,0,104,259,8,6
s,0,1,1,0,145,237,4,3
v,1,0,1,0,60,278,6,7
s,0,1,1,0,191,227,17,2
f,0,0,1,0,163,327,3,5
p,0,0,0,0,107,180,8,2
t,0,1,0,0,105,229,14,5
t,0,1,0,0,70,196,13,1
b,1,0,0,0,37,277,5,7
f,0,0,1,0,132,230,11,6
p,0,0,0,0,80,249,4,2
z,1,1,1,0,124,270,18,4
p,0,0,0,0,109,250,14,8
t,0,1,0,0,53,179,19,6
d,1,1,0,0,53,277,5,6
z,1,1,1,0,140,212,1,6
v,1,0,1,0,100,277,16,7
f,0,0,1,0,108,266,6,6
s,0,1,1,0,186,287,2,7
t,0,1,0,0,72,163,13,6
b,1,0,0,0,32,186,17,9
b,1,0,0,0,22,180,8,1
z,1,1,1,0,91,206,17,6
p,0,0,0,0,79,244,2,5
p,0,0,0,0,32,217,19,3
