idx,Talker,TalkerID,Vowel,VowelNum,Fricative,FricativeNum,Rep,HasPerceptualData,F0,F1,F2,F3,F4,F5,maxpf,rms_f,rms_v,dur_f,dur_v,lowF,F3ampF,F3ampV,F5ampF,F5ampV,M1,M2,M3,M4,M1trans,M2trans,M3trans,M4trans
24,M6,1,i,1,zh,8,3,0,142.1654101,282.773174,2030.188679,2573.584906,3418.867925,4067.924528,3205,69.6,75.02,101,84,48.002,-3.906,1.571,-14.995,-11.074,5111.605,1854.283298,-0.11,-0.93,3754.16,3902131.4,0.59,-0.08
25,M6,1,ei,2,f,1,1,0,122.5310158,441.025413,2010.390459,2692.400014,3790.0217,4411.149826,8802,53.47,74.47,149,105,30.043,-25.313,4.862,-32.873,-11.846,7124.9,2131.664103,-0.715,0.925,2182.63,2371355.7,1.96,6.91
26,M6,1,ei,2,f,1,2,0,114.1284865,383.943117,1946.523294,2723.77993,3658.536585,4466.898955,8324,54.03,74.85,140,94,32.349,-21.599,3.123,-27.573,-7.643,6593.545,2114.887408,-0.855,1.03,2175.65,4368662.9,1.54,2.55
27,M6,1,ei,2,f,1,3,0,108.4954313,430.642596,1926.81165,2641.448071,3949.42013,4439.02439,8347,53.15,76.55,143,98,30.832,-16.17,3.374,-30.54,-5.094,6399.58,2158.977733,-0.575,0.275,2254.33,3992543,1.75,3.48
28,M6,1,ei,2,v,2,1,0,145.7552823,395.769762,1805.814713,2404.181185,3379.790941,4355.400697,7939,66.7,76.12,66,107,44.009,-20.58,0.884,-29.447,-12.728,7289.47,2676.158123,-1.795,2.36,2259.19,3057563.4,1.77,4.29
29,M6,1,ei,2,v,2,2,0,103.4525236,343.163723,1805.009013,2515.679443,3310.10453,4118.466899,7149,64.71,77.26,59,104,41.491,-22.645,2.459,-34.354,-15.149,6476.255,3187.338717,-1.18,0.05,2442.75,4959934.8,1.44,1.84
30,M6,1,ei,2,v,2,3,0,111.9140193,390.925877,1892.867585,2618.52991,3379.790941,4257.839721,9192,63.87,75.42,94,111,42.667,-22.159,6.884,-30.412,-7.155,5474.775,3412.419962,-0.585,-1.02,2772.7,5193642.2,1.34,1.37
31,M6,1,ei,2,th,3,1,0,119.9547268,411.809805,1989.985469,2786.818494,4102.961779,5560.730922,7204,54.86,77.1,140,93,31.734,-22.594,6.649,-26.82,-8.182,7425.45,1033.091308,-1.465,6.48,3351.69,7744843,0.71,-0.65
32,M6,1,ei,2,th,3,2,0,116.6140639,383.516623,1902.730662,2761.627112,3881.533101,4383.275261,8516,50.15,75.52,139,113,25.627,-31.388,0.119,-34.266,-6.506,7245.36,1499.664879,-0.985,1.885,3150.7,8286145.1,0.83,-0.53
33,M6,1,ei,2,th,3,3,0,111.9068177,383.29549,1977.801527,2709.836892,3923.344948,4285.714286,7700,50.41,76.3,136,106,25.435,-25.963,0.939,-34.097,-4.198,6728.245,1763.72074,-1.005,1.675,2897.39,7189325.7,1.1,0.17
34,M6,1,ei,2,dh,4,1,0,121.6163403,384.376366,1773.29615,2594.371075,3988.339825,5294.5353,7102,68.88,77.38,88,119,47.447,-24.87,4.404,-17.903,-17.254,6050.11,2871.790835,-1.12,0.2,4888.35,9638237.6,-0.23,-1.49
35,M6,1,ei,2,dh,4,2,0,115.2789341,357.424402,1788.362665,2597.27931,4015.074744,5299.213771,7772,67.38,76.85,75,125,45.224,-28.125,0.767,-29.997,-20.746,6485.115,2568.451868,-1.645,2.04,3320.88,8414043.1,0.68,-0.95
36,M6,1,ei,2,dh,4,3,0,127.9036057,385.692355,1727.413531,2527.035839,3929.232979,5185.179885,7651,69.01,77.48,53,117,45.201,,,,,6857.395,2263.079473,-1.86,2.745,3506.62,9005861.7,0.57,-1.19
37,M6,1,ei,2,s,5,1,0,167.0901753,397.776515,1951.528196,2701.97887,3929.143912,4452.961672,7973,65.45,74.03,172,102,31.681,-29.886,4.466,-40.603,-11.602,7391.75,1165.697435,-0.87,2.465,2265.53,2564895.2,1.77,5.62
38,M6,1,ei,2,s,5,2,0,105.8964296,440.929547,1930.407292,2723.458587,3918.170234,4522.648084,6596,65.64,74.96,175,93,31.137,-30.363,6.124,-35.85,-1.134,7373.21,894.9481689,-0.48,3.145,2184.47,2975435.3,1.63,3.88
39,M6,1,ei,2,s,5,3,0,170.4481291,422.482341,1935.284126,2750.895964,3947.586761,4606.271777,6406,64.61,74.84,170,107,35.434,-24.429,6.656,-36.799,-2.018,6615.785,1384.295442,-0.35,0.425,2251.42,4317808,1.49,2.22
40,M6,1,ei,2,z,6,1,0,122.7278647,347.033162,1784.521331,2716.048205,3881.533101,4341.463415,7925,70.5,76.85,92,115,48.159,-15.412,-1.174,-13.429,-7.281,7489.665,1127.434,-0.975,5.8,7482.85,2135257.1,-1.76,7.3
41,M6,1,ei,2,z,6,2,0,150.8406401,342.719637,1812.748228,2695.031466,3728.222997,4411.149826,9337,69.4,76.64,99,109,47.528,-16.035,-0.17,-23.897,-12.057,7849.71,1244.045377,-1.945,7.83,6616.84,7792011.2,-1.17,0.14
42,M6,1,ei,2,z,6,3,0,148.9907539,360.384857,1823.933024,2688.281463,3672.473868,4480.836237,6693,67.75,75.83,105,108,44.953,-16.369,1.83,-15.363,-8.065,7684.21,1034.644731,-0.725,5.03,6762.61,6905431.7,-1.44,0.81
43,M6,1,ei,2,sh,7,1,0,136.5167891,371.985155,1994.3979,2832.829524,3747.061878,4257.839721,6228,70.64,79.84,157,96,35.856,1.033,5.713,-6.894,-5.276,5192.305,1571.835615,0.105,-0.61,2942.02,6272811.9,0.98,0.26
44,M6,1,ei,2,sh,7,2,0,122.9062534,407.432472,1948.640325,2774.726249,3581.232244,4216.027875,3313,67.95,77.54,159,90,35.671,-4.726,6.127,-10.832,-10.846,4215.085,1528.032215,1.125,0.24,2543.92,5319833.3,1.28,1.29
45,M6,1,ei,2,sh,7,3,0,171.9152691,402.714803,2041.234073,2802.287147,3729.381474,4229.965157,3302,67.1,78.87,155,93,34.361,-16.08,6.746,-27.478,-12.34,4893.055,1708.914012,0.68,-0.13,3557.1,8981942,0.69,-0.96
46,M6,1,ei,2,zh,8,1,0,125.0539266,352.084974,1916.376307,2752.61324,3351.916376,4146.341463,2794,72.19,78.19,126,117,51.717,0.519,2.845,-6.084,-17.017,4848.055,1894.883954,0.075,-0.875,3511.56,6188803.5,0.73,-0.47
47,M6,1,ei,2,zh,8,2,0,117.6129928,387.219752,1916.376307,2752.61324,3435.54007,4104.529617,2900,71.35,79.64,105,114,49.499,2.49,4.927,-1.249,-9.824,4615.425,1694.385346,0.36,-0.325,3188.56,3518293.1,0.81,0.95
48,M6,1,ei,2,zh,8,3,0,105.7457519,370.918811,1910.716691,2782.47909,3449.477352,4160.278746,3298,69.72,78.17,103,109,48.271,-4.426,-2.22,-11.41,-20.157,4900.72,1663.873778,0.08,-0.5,2746.64,5985055.5,0.91,0.02
49,M6,1,eh,3,f,1,1,0,148.9367199,631.230073,1566.731168,2486.488304,3512.392464,4076.655052,8468,53.23,74.97,117,125,30.167,-25.895,0.936,-22.751,-12.69,6672.9,2106.443258,-0.825,0.105,1461.28,1213378.7,3.5,19.64
50,M6,1,eh,3,f,1,2,0,136.3707538,665.541823,1561.093414,2460.408298,3505.226481,4216.027875,8410,54.01,76.46,130,113,31.66,-26.948,1.69,-35.369,-12.894,6228.45,2312.186508,-0.365,-0.485,1705.18,2899447.5,2.81,8.35
51,M6,1,eh,3,f,1,3,0,107.0130947,667.20005,1524.895319,2449.288169,3674.958007,5063.876443,8571,54.41,76.09,136,120,32.79,-29.311,-1.785,-31.982,-11.945,6678.52,2044.730532,-0.625,0.92,1304.78,1271854,3.5,17.08
52,M6,1,eh,3,v,2,1,0,105.2972188,557.830673,1477.507507,2153.310105,3574.466137,4369.337979,6995,64.98,77.57,61,134,41.907,-17.406,7.478,-30.379,-19.199,6504.03,2886.75121,-1.11,0.14,2827.4,8028811.9,1.09,-0.26
53,M6,1,eh,3,v,2,2,0,100.5202082,503.257467,1532.007645,2571.021409,3648.837597,4369.337979,8733,64.01,75.97,72,122,41.678,-20.666,0.738,-37.792,-12.847,7076.465,3250.214124,-1.47,0.71,1417.36,2699364.3,2.83,9.32
