consonant,voice,place,manner,prosody,noipow,voipow,subject,token
p,0,0,0,1,137.34,117.7,14,1
s,0,1,1,1,156.58,123.23,4,10
v,1,0,1,1,150.61,117.06,9,1
t,0,1,0,1,151.41,117.6,4,8
s,0,1,1,1,148.67,110.26,19,3
b,1,0,0,1,140.87,121.38,13,6
t,0,1,0,1,141.75,112.53,17,1
d,1,1,0,1,146.07,125.35,12,4
z,1,1,1,1,156.31,122.13,10,4
f,0,0,1,1,136.7,112.25,20,2
p,0,0,0,1,132.26,112.27,20,7
t,0,1,0,1,154.26,101.15,2,2
v,1,0,1,1,134.37,115.21,18,4
d,1,1,0,1,132.99,123.15,19,6
p,0,0,0,1,118.84,105.24,5,2
s,0,1,1,1,156.45,113.15,7,3
t,0,1,0,1,143.42,112.43,20,10
z,1,1,1,1,143.35,112.14,20,8
p,0,0,0,1,129.24,107.09,5,5
v,1,0,1,1,141.6,116.65,9,2
t,0,1,0,1,142.68,113.91,17,3
t,0,1,0,1,159.99,118.91,8,5
v,1,0,1,1,128.81,105.02,5,3
z,1,1,1,1,158.17,113.93,8,1
p,0,0,0,1,152.91,127.1,10,10
p,0,0,0,1,146.22,116.47,11,10
s,0,1,1,1,161.72,120.16,2,6
p,0,0,0,1,145.02,112.01,6,9
p,0,0,0,1,147.79,114.27,3,2
f,0,0,1,1,153.37,118.14,8,7
s,0,1,1,1,155.51,111.51,2,4
d,1,1,0,1,141.76,120.43,17,5
v,1,0,1,1,141.97,116.46,16,1
s,0,1,1,1,136.15,107.98,5,1
f,0,0,1,1,148.63,118.07,3,3
