consonant,voice,place,manner,prosody,noipow,voipow,subject,token
s,0,1,1,1,155.98,115.07,8,10
f,0,0,1,1,140.91,109.43,1,2
b,1,0,0,1,139.62,118.75,18,3
t,0,1,0,1,154.84,108.2,12,6
b,1,0,0,1,129.09,119.58,20,8
v,1,0,1,1,133.1,108.76,20,7
p,0,0,0,1,135.05,113.09,18,9
v,1,0,1,1,138.66,114.29,14,6
f,0,0,1,1,138.85,111.87,11,3
b,1,0,0,1,132.83,113.31,4,9
p,0,0,0,1,148.48,118.65,8,9
t,0,1,0,1,145.64,109.48,7,3
b,1,0,0,1,132.48,118.89,17,1
f,0,0,1,1,149.73,117.01,3,1
v,1,0,1,1,140.77,120.59,3,7
b,1,0,0,1,142.26,116.93,11,8
f,0,0,1,1,147.31,108.2,15,3
d,1,1,0,1,131.36,108.53,5,9
s,0,1,1,1,152.8,121.66,3,6
b,1,0,0,1,148.68,124.05,15,1
t,0,1,0,1,157.15,118.24,1,6
d,1,1,0,1,153.84,120.87,4,2
t,0,1,0,1,157.02,114.46,1,10
v,1,0,1,1,140.13,115.61,4,1
f,0,0,1,1,136.01,112.88,20,6
v,1,0,1,1,152.56,128.84,8,8
s,0,1,1,1,146.58,111.92,18,1
p,0,0,0,1,142.12,114.77,13,5
d,1,1,0,1,139.31,120.83,20,1
v,1,0,1,1,147.89,115.11,9,7
t,0,1,0,1,153.27,112.04,13,7
t,0,1,0,1,157.37,119.59,8,6
z,1,1,1,1,157.9,122.56,15,9
s,0,1,1,1,155.56,107.53,12,2
d,1,1,0,1,134.23,115.78,7,1
v,1,0,1,1,136.9,115.99,16,6
t,0,1,0,1,147.14,109.66,13,10
p,0,0,0,1,139.2,121.06,10,5
t,0,1,0,1,141.53,110.4,20,5
d,1,1,0,1,139.73,113.46,9,3
t,0,1,0,1,154.81,119.27,1,7
z,1,1,1,1,157.28,123.17,10,10
s,0,1,1,1,148.0,113.81,17,6
t,0,1,0,1,154.95,119.06,8,9
z,1,1,1,1,147.66,126.94,14,4
d,1,1,0,1,147.64,119.99,13,3
t,0,1,0,1,151.7,109.77,9,10
s,0,1,1,1,152.99,111.46,13,10
s,0,1,1,1,156.83,111.47,12,8
s,0,1,1,1,146.95,116.54,20,8
z,1,1,1,1,157.87,107.63,2,4
d,1,1,0,1,145.01,115.1,15,5
z,1,1,1,1,150.74,116.46,7,2
d,1,1,0,1,146.92,121.45,6,5
d,1,1,0,1,133.99,113.73,18,3
f,0,0,1,1,136.13,108.17,16,6
b,1,0,0,1,131.92,122.74,20,5
s,0,1,1,1,151.97,114.33,19,5
b,1,0,0,1,138.88,118.41,10,8
f,0,0,1,1,136.16,107.42,13,10
s,0,1,1,1,147.83,117.63,14,4
f,0,0,1,1,138.83,102.05,12,5
z,1,1,1,1,154.63,114.5,4,6
s,0,1,1,1,158.88,111.02,6,9
d,1,1,0,1,130.63,113.33,19,8
f,0,0,1,1,141.8,114.13,3,5
v,1,0,1,1,136.85,118.08,11,2
